Time, Altitude, Yaw, Pitch, Roll, Ax, Ay, Az, Pitch_rate, Roll_rate,Yaw_rate, Magx, Magy, Magz
0.761690,0.398899,0.000439,0.063535,-0.020695,0.210690,0.632069,9.907206,-0.014899,0.010642,-0.001064,-8.964844,14.285742,45.029297
0.864139,0.087942,0.000159,0.052254,-0.016072,0.162806,0.536301,9.969456,-0.015963,0.011706,-0.004257,-7.207031,16.049414,43.330078
0.964147,0.072753,0.001033,0.057581,-0.030736,0.215478,0.608127,9.964667,-0.015963,0.010642,0.001064,-8.789062,15.873047,44.859375
1.065150,0.091666,-0.000453,0.067638,-0.012066,0.162806,0.641646,9.950302,-0.017028,0.011706,-0.002128,-8.261719,16.402148,43.669922
1.170233,-0.313563,-0.000811,0.060627,-0.008359,0.196325,0.627281,9.945514,-0.017028,0.013835,-0.004257,-7.207031,15.696680,46.048828
1.270160,0.041825,-0.000531,0.056445,-0.018249,0.191536,0.574608,9.964667,-0.017028,0.013835,-0.001064,-7.207031,15.696680,46.048828
1.371826,-0.138077,-0.001103,0.062540,-0.016786,0.181959,0.646434,9.955091,-0.014899,0.011706,0.002128,-9.492188,14.814844,44.859375
1.473290,-0.175978,-0.000889,0.056717,-0.020892,0.186748,0.584185,9.878476,-0.015963,0.008514,0.001064,-8.437500,14.814844,44.179688
1.576610,-0.215896,-0.000557,0.051401,-0.027928,0.244209,0.617704,9.993398,-0.017028,0.011706,-0.003193,-8.085938,16.225781,44.179688
1.679878,-0.327513,-0.000017,0.067949,-0.037860,0.292093,0.665588,10.031705,-0.017028,0.013835,-0.001064,-8.085938,16.225781,44.179688
1.782388,-0.557634,-0.002384,0.055324,-0.000683,0.172383,0.584185,9.993398,-0.017028,0.010642,-0.001064,-7.910156,15.343945,45.029297
1.883925,-0.265580,-0.002103,0.068356,-0.008744,0.177171,0.641646,10.012551,-0.020220,0.009578,-0.001064,-7.734375,16.225781,43.500000
1.985617,-0.292489,-0.001629,0.069026,-0.017177,0.215478,0.608127,9.921572,-0.015963,0.011706,-0.002128,-7.558594,15.696680,44.009766
2.086709,-0.149720,-0.001840,0.070088,-0.016766,0.225055,0.622492,9.916783,-0.015963,0.009578,-0.004257,-9.140625,14.814844,45.539062
2.188572,-0.256436,-0.001873,0.059601,-0.020025,0.196325,0.603339,9.897630,-0.013835,0.009578,-0.001064,-9.667969,14.991211,44.689453
2.291129,-0.555500,-0.001602,0.060003,-0.027491,0.181959,0.660800,10.026917,-0.015963,0.012771,-0.001064,-9.667969,14.991211,44.689453
2.392718,-0.025510,-0.001377,0.061323,-0.032306,0.225055,0.641646,9.931148,-0.015963,0.011706,0.000000,-9.843750,14.462109,43.500000
2.494592,-0.525230,-0.002316,0.063635,-0.025781,0.191536,0.656011,9.988609,-0.014899,0.009578,0.002128,-9.843750,14.462109,43.500000
2.595777,-0.240911,-0.002564,0.059316,-0.021653,0.234632,0.593762,9.902418,-0.017028,0.008514,-0.001064,-9.843750,14.462109,43.500000
2.698427,-0.110046,-0.001976,0.058524,-0.027895,0.201113,0.651223,9.878476,-0.019156,0.009578,-0.001064,-8.789062,14.814844,45.199219
2.800497,-0.195636,-0.002750,0.054753,-0.018193,0.205901,0.593762,10.041282,-0.015963,0.010642,-0.003193,-7.734375,16.578516,45.539062
2.901360,-0.528018,-0.003398,0.063631,-0.012069,0.162806,0.646434,9.979033,-0.012771,0.011706,-0.003193,-7.734375,16.578516,45.539062
3.003285,-0.362444,-0.003303,0.059878,-0.017738,0.138864,0.593762,9.955091,-0.018092,0.009578,-0.001064,-6.152344,15.343945,44.009766
3.104979,-0.363486,-0.003722,0.058523,-0.008366,0.148441,0.579397,10.050859,-0.014899,0.010642,-0.002128,-6.152344,15.343945,44.009766
3.207035,-0.427948,-0.003300,0.051773,-0.016098,0.167594,0.545878,9.911995,-0.012771,0.010642,-0.003193,-8.261719,16.049414,44.349609
3.308111,-0.154786,-0.003609,0.062650,-0.014896,0.186748,0.569820,9.921572,-0.018092,0.007450,-0.003193,-8.261719,16.049414,44.349609
3.409700,-0.280357,-0.003039,0.062701,-0.024332,0.287304,0.617704,9.888053,-0.014899,0.009578,-0.004257,-8.789062,13.756641,43.500000
3.512688,-0.259177,-0.003514,0.054785,-0.017969,0.148441,0.526724,9.945514,-0.012771,0.011706,-0.002128,-8.613281,16.049414,45.029297
3.613747,-0.370575,-0.002664,0.065882,-0.032019,0.205901,0.584185,9.888053,-0.013835,0.010642,-0.002128,-8.261719,16.754883,45.029297
3.714731,-0.559641,-0.002522,0.071674,-0.037495,0.287304,0.699107,9.926360,-0.015963,0.007450,-0.001064,-7.382812,15.520312,45.199219
3.816611,-0.330089,-0.003202,0.075330,-0.030199,0.258574,0.708684,9.911995,-0.013835,0.012771,0.001064,-7.910156,14.638477,45.708984
3.918528,-0.303337,-0.004753,0.058767,-0.012031,0.205901,0.646434,9.964667,-0.018092,0.008514,0.000000,-8.437500,15.520312,44.859375
4.019744,-0.317277,-0.004281,0.046336,-0.018912,0.277727,0.588974,9.868899,-0.014899,0.012771,-0.002128,-9.492188,15.873047,45.199219
4.121614,-0.521661,-0.004132,0.066461,-0.021417,0.205901,0.641646,9.931148,-0.018092,0.008514,-0.002128,-9.140625,15.873047,44.859375
4.223162,-0.422140,-0.004621,0.064725,-0.015691,0.205901,0.598550,10.002975,-0.017028,0.013835,-0.001064,-9.316406,16.402148,44.689453
4.324459,-0.384270,-0.004312,0.062972,-0.020369,0.263362,0.636858,10.065224,-0.017028,0.011706,-0.001064,-9.316406,16.402148,44.689453
4.427366,-0.042412,-0.004173,0.048039,-0.022843,0.248997,0.502782,9.902418,-0.015963,0.010642,0.000000,-7.558594,15.696680,45.029297
4.528985,-0.083766,-0.005136,0.052562,-0.009166,0.181959,0.550666,9.969456,-0.017028,0.008514,-0.002128,-7.558594,15.696680,45.029297
4.630415,0.207348,-0.003949,0.057682,-0.031907,0.177171,0.656011,9.993398,-0.017028,0.010642,-0.004257,-7.382812,16.225781,44.179688
4.732146,-0.226065,-0.005986,0.062963,-0.003839,0.220267,0.646434,9.964667,-0.018092,0.011706,-0.002128,-7.382812,16.225781,44.179688
4.833468,-0.414973,-0.004317,0.060314,-0.030957,0.311246,0.608127,9.993398,-0.018092,0.010642,0.000000,-8.085938,15.167578,45.199219
4.934615,-0.410523,-0.005551,0.064151,-0.011256,0.196325,0.608127,9.955091,-0.015963,0.014899,-0.002128,-7.910156,14.638477,43.330078
5.036133,-0.306615,-0.005032,0.056994,-0.024284,0.205901,0.641646,9.911995,-0.018092,0.010642,0.003193,-9.140625,15.520312,44.179688
5.138030,-0.296242,-0.004538,0.060551,-0.031787,0.277727,0.627281,9.950302,-0.017028,0.011706,-0.003193,-9.140625,15.520312,44.179688
5.239679,-0.566996,-0.006239,0.058672,-0.006361,0.172383,0.651223,9.868899,-0.018092,0.011706,0.000000,-8.964844,16.402148,45.369141
5.340706,-0.644486,-0.004549,0.074094,-0.033347,0.177171,0.656011,9.988609,-0.013835,0.012771,-0.002128,-7.734375,14.814844,44.859375
5.442084,-0.283947,-0.005503,0.045183,-0.019031,0.215478,0.574608,9.974244,-0.012771,0.012771,0.000000,-8.437500,14.109375,44.519531
5.543693,-0.400218,-0.005495,0.058214,-0.022548,0.215478,0.608127,9.907206,-0.015963,0.009578,-0.001064,-8.437500,14.109375,44.519531
5.644784,-0.326359,-0.005837,0.063268,-0.017891,0.181959,0.641646,9.840169,-0.015963,0.011706,-0.004257,-7.382812,15.873047,45.199219
5.745866,-0.442934,-0.006266,0.067737,-0.013308,0.138864,0.675165,9.883264,-0.014899,0.009578,-0.004257,-8.964844,15.696680,44.349609
5.847690,-0.467375,-0.006627,0.062273,-0.011958,0.129287,0.608127,9.859322,-0.014899,0.011706,-0.002128,-7.910156,15.696680,44.689453
5.949376,-0.486734,-0.005263,0.058315,-0.038535,0.201113,0.584185,9.969456,-0.015963,0.011706,-0.001064,-7.558594,16.049414,44.689453
6.050654,-0.654944,-0.005621,0.070691,-0.034165,0.258574,0.675165,9.911995,-0.015963,0.014899,-0.004257,-9.492188,14.814844,45.539062
6.153470,-0.081665,-0.006216,0.054510,-0.028798,0.244209,0.579397,9.835380,-0.012771,0.010642,-0.002128,-7.910156,16.049414,44.349609
6.254862,-0.439538,-0.006913,0.045126,-0.019200,0.158017,0.579397,10.055647,-0.013835,0.013835,0.000000,-7.910156,16.049414,44.349609
6.356363,-0.372167,-0.007770,0.071960,-0.010978,0.143652,0.675165,9.959879,-0.013835,0.011706,0.000000,-7.910156,16.049414,44.349609
6.458554,-0.560387,-0.007663,0.075918,-0.012084,0.196325,0.699107,10.002975,-0.012771,0.008514,-0.001064,-9.140625,16.225781,43.839844
6.560695,-0.363648,-0.005457,0.071722,-0.044436,0.344765,0.679953,9.969456,-0.014899,0.011706,0.001064,-9.843750,15.520312,43.839844
6.661550,-0.267146,-0.006756,0.050129,-0.028830,0.201113,0.598550,10.007763,-0.017028,0.009578,-0.003193,-8.964844,16.402148,45.029297
6.763409,-0.494805,-0.007390,0.064924,-0.018824,0.181959,0.641646,9.840169,-0.019156,0.010642,-0.002128,-8.964844,16.754883,45.708984
6.865139,-0.762411,-0.007382,0.065903,-0.021981,0.191536,0.656011,10.012551,-0.013835,0.013835,0.000000,-6.855469,15.343945,44.349609
6.969152,-0.560432,-0.007295,0.056473,-0.024721,0.287304,0.593762,10.103531,-0.018092,0.007450,-0.002128,-8.789062,16.225781,45.878906
7.069069,-0.606052,-0.007534,0.057970,-0.021782,0.205901,0.593762,9.835380,-0.015963,0.011706,0.000000,-8.789062,16.225781,45.878906
